"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1987","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",272972974764.574,"Nominal GDP"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1988","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",312353631207.819,"Nominal GDP"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1989","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",347768051311.741,"Nominal GDP"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1990","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",360857912565.966,"Nominal GDP"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1991","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",383373318083.624,"Nominal GDP"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1992","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",426915712715.856,"Nominal GDP"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1993","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",444731282435.515,"Nominal GDP"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1994","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",564321854521.013,"Nominal GDP"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1995","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",734484834573.582,"Nominal GDP"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1996","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",863749314718.538,"Nominal GDP"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1997","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",961601980984.623,"Nominal GDP"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1998","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1029060747620.65,"Nominal GDP"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1999","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1094003874937.3401,"Nominal GDP"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2000","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1211331651866.09,"Nominal GDP"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2001","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1339400897105.11,"Nominal GDP"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2002","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1470557654799.95,"Nominal GDP"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2003","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1660280543846.79,"Nominal GDP"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2004","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1955346768721.3896,"Nominal GDP"
